"generation","filename","format_version","saved_at_unix_seconds","saved_at_local","architecture","activations","genome_parameter_count","champion_training_fitness","population_average_fitness","average_useful_progress_speed_u_s","completion_rate","completion_rate_percent","completed","collision","stalled","timeout","training_tracks","validation_track","validation_score","validation_normalized_progress","validation_progress_percent","validation_useful_progress_speed_u_s","validation_elapsed_s","validation_finish_reason","maximum_episode_duration_s","stall_timeout_s","significant_progress_epsilon_u","progress_weight","speed_weight","collision_penalty","completion_bonus","progress_speed_normalization_u_s","training_track_selection"
"110","generation_000110_1787970341.ron","1","1787970341","2026-08-28 23:25:41 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.483974","1.193195","239.14459","0.33333334","33.333334","1","0","0","2","red_bull_ring;silverstone;monza","monaco","1.0923513","0.69235134","69.235134","208.98666","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"120","generation_000120_1787970570.ron","1","1787970570","2026-08-28 23:29:30 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.2005912","0.9101466","227.52666","0","0","0","0","0","3","interlagos;silverstone;catalunya","spa","1.2529929","0.85299283","85.299283","218.92152","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"130","generation_000130_1787971062.ron","1","1787971062","2026-08-28 23:37:42 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.2160906","0.96239567","232.12006","0","0","0","0","0","3","interlagos;catalunya;silverstone","suzuka","1.359346","0.95934606","95.934606","214.24135","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"140","generation_000140_1787971289.ron","1","1787971289","2026-08-28 23:41:29 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4610218","1.2173831","251.85945","0.33333334","33.333334","1","0","0","2","silverstone;monza;interlagos","suzuka","1.8499999","1","100","224.63017","59.665928","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"150","generation_000150_1787971516.ron","1","1787971516","2026-08-28 23:45:16 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4679337","1.2562035","251.39185","0.33333334","33.333334","1","0","0","2","silverstone;catalunya;monza","spa","1.3058685","0.90586853","90.586853","232.49214","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"160","generation_000160_1787971738.ron","1","1787971738","2026-08-28 23:48:58 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.641502","1.3122481","262.66034","0.6666667","66.66667","2","0","0","1","monza;interlagos;red_bull_ring","suzuka","1.8499999","1","100","230.3569","58.182617","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"170","generation_000170_1787971963.ron","1","1787971963","2026-08-28 23:52:43 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4849454","1.079966","254.79626","0.33333334","33.333334","1","0","0","2","red_bull_ring;silverstone;catalunya","monaco","1.1836421","0.7836421","78.36421","236.54285","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"175","generation_000175_1787972445.ron","1","1787972445","2026-08-29 00:00:45 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4359242","1.302002","258.63364","0.33333334","33.333334","1","0","0","2","catalunya;interlagos;monza","spa","1.3301519","0.9301519","93.01519","238.72449","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"200","generation_000200_1787972907.ron","1","1787972907","2026-08-29 00:08:27 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4470135","1.3312832","263.69702","0.33333334","33.333334","1","0","0","2","monza;catalunya;interlagos","suzuka","1.8499999","1","100","232.68979","57.599293","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"225","generation_000225_1787973360.ron","1","1787973360","2026-08-29 00:16:00 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.66218","1.3968524","272.32773","0.6666667","66.66667","2","0","0","1","red_bull_ring;catalunya;monza","spa","0.3692134","0.0492134","4.92134","165.3907","4.583338","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"250","generation_000250_1787973817.ron","1","1787973817","2026-08-29 00:23:37 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.5010382","1.1995369","261.4623","0.33333334","33.333334","1","0","0","2","catalunya;red_bull_ring;silverstone","suzuka","1.8499999","1","100","235.8287","56.832638","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"275","generation_000275_1787974265.ron","1","1787974265","2026-08-29 00:31:05 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6601511","1.4502071","276.46973","0.6666667","66.66667","2","0","0","1","interlagos;monza;red_bull_ring","suzuka","1.8499999","1","100","239.12456","56.049316","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"300","generation_000300_1787974706.ron","1","1787974706","2026-08-29 00:38:26 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6710653","1.4095181","276.2851","0.6666667","66.66667","2","0","0","1","catalunya;monza;red_bull_ring","suzuka","1.1143777","0.79437774","79.437774","240.51917","44.266163","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"325","generation_000325_1787975169.ron","1","1787975169","2026-08-29 00:46:09 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6754231","1.4614633","282.7529","0.6666667","66.66667","2","0","0","1","monza;red_bull_ring;catalunya","spa","0.36872584","0.04872582","4.872582","168.6586","4.4500027","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"350","generation_000350_1787975622.ron","1","1787975622","2026-08-29 00:53:42 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6689754","1.3282603","277.03525","0.6666667","66.66667","2","0","0","1","monza;silverstone;interlagos","spa","1.8499999","1","100","258.1566","59.665928","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"375","generation_000375_1787976076.ron","1","1787976076","2026-08-29 01:01:16 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6780134","1.4815428","285.01767","0.6666667","66.66667","2","0","0","1","catalunya;red_bull_ring;monza","monaco","1.253326","0.853326","85.3326","257.57697","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"400","generation_000400_1787976530.ron","1","1787976530","2026-08-29 01:08:50 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.6772469","1.4912142","287.46106","0.6666667","66.66667","2","0","0","1","catalunya;red_bull_ring;monza","spa","1.8499999","1","100","257.43747","59.832592","Completed","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
